Station,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dhaka,1995,5,0,0,0,0,0,3,0,0,3,0,0,0,0,0,11,71,76,72,0,0,0,3,16,0,0,9,0,0,0,0,0
Dhaka,1996,5,0,12,0,0,0,0,0,0,0,0,0,57,4,4,17,19,0,0,8,6,0,0,0,0,0,0,0,9,0,15,57
Dhaka,1997,5,0,14,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,9,0,0,10,39,7,2,18,38,3,0
Dhaka,1967,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Dhaka,1967,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dhaka,1968,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0,2,6,65,0,0,0,0,0,0,0,0
Dhaka,1998,5,0,11,5,28,9,31,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,56,105,118,24,3
Dhaka,1999,5,0,0,0,0,0,14,53,0,38,4,0,1,21,16,141,28,0,0,0,0,26,4,37,1,0,0,0,2,17,25,0
Dhaka,2000,5,0,58,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,65,15,2,49,1,6,43,52,90,23,0,48
Dhaka,2001,5,18,0,48,10,6,4,0,71,52,8,32,0,0,0,0,0,0,0,0,6,40,0,27,7,0,0,23,0,0,49,1
